Assembly	minimap2_miniasm
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	8
# contigs (>= 10000 bp)	8
# contigs (>= 25000 bp)	8
# contigs (>= 50000 bp)	8
Total length (>= 0 bp)	2458389
Total length (>= 1000 bp)	2458389
Total length (>= 5000 bp)	2458389
Total length (>= 10000 bp)	2458389
Total length (>= 25000 bp)	2458389
Total length (>= 50000 bp)	2458389
# contigs	8
Largest contig	1174519
Total length	2458389
Reference length	4641652
Reference GC (%)	50.79
N50	307611
NG50	132851
N75	187752
L50	2
LG50	7
L75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	5 + 3 part
Unaligned length	2455825
Genome fraction (%)	0.057
Duplication ratio	0.971
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3407.80
# indels per 100 kbp	3332.07
Largest alignment	1227
Total aligned length	2564
NGA50	-
